Функция/Аспект,Предприниматель (0-50 млн руб.),Операционный менеджер (0-50 млн руб.),Предприниматель (50-250 млн руб.),Операционный менеджер (50-250 млн руб.),Предприниматель (250 млн - 1 млрд руб.),Операционный менеджер (250 млн - 1 млрд руб.),Предприниматель (1+ млрд руб.),Операционный менеджер (1+ млрд руб.)
Стратегическое видение,"Формирует с нуля, тестирует гипотезы, быстро меняет направление","Исполняет видение основателя, фокус на выполнении планов","Переход от тактики к стратегии, масштабирование модели","Реализация стратегии роста, управление масштабированием","Диверсификация бизнеса, M&A, выход на новые рынки/вертикали","Исполнение дивизиональной стратегии, интеграция направлений","Трансформация индустрии, глобальная экспансия, экосистемное мышление","Execution глобальной стратегии, managing complexity at scale"
Целеполагание,Выживание → первые 10-20 млн → устойчивость,Достижение квартальных целей по выручке и марже,"Рост 2-3x, выход на новые регионы/сегменты, продуктовые линейки",Выполнение целей по росту в рамках направления (20-30% YoY),"Стать лидером ниши, 500-1000 млн оборот, подготовка к экзиту","Цели по EBITDA дивизиона, integration targets","Стать Top-3 игроком рынка, multi-billion valuation, legacy building",Достижение operational excellence targets
Позиционирование на рынке,"Ищет нишу, экспериментирует с сегментами, создает УТП","Реализует указания основателя, работает с текущими клиентами","Укрепление позиций, выстраивание бренда, сегментация","Удержание доли рынка, работа с конкурентами в регионе","Доминирование в нише, построение экосистемы, узнаваемость бренда",Execution маркетинговой стратегии в регионе/категории,"Создание категории, thought leadership, влияние на регулирование","Защита market share, competitive intelligence"
Инновации и R&D,"Сам генерирует идеи, прототипирует, собирает обратную связь",Не участвует - фокус на текущем продукте,"Запуск новых продуктов, отдел R&D, систематизация инноваций","Внедрение новых продуктов в операционку, обратная связь","R&D центр, венчурные инвестиции в стартапы, корпоративные инновации",Быстрый rollout инноваций в массовое производство,"Венчурная рука, корпоративные стартапы, disruptive инновации","Fast follower strategy, innovation adoption"
Бизнес-модель,"Тестирует разные модели монетизации, ищет unit-экономику","Работает в рамках установленной модели, оптимизирует","Оптимизация модели, увеличение LTV, снижение CAC",Выполнение метрик unit-экономики по направлению,"Оптимизация портфеля бизнес-моделей, цифровизация",Операционная эффективность модели в масштабе,"Портфельное управление бизнесами, холдинговая структура",Операционная модель best-in-class
Привлечение клиентов,"Сам продает, холодные звонки, личные контакты, нетворкинг","Контролирует воронку, встречи с клиентами, закрытие сделок","Выстраивает систему продаж, нанимает Head of Sales","Управление командой продаж 10-30 человек, ROP","Стратегия сейлз, управление через Directors/VP Sales",Управление региональными/продуктовыми sales directors,"Стратегия клиентских сегментов, большая часть через команду",Глобальная/региональная sales organization management
Ценообразование,"Интуитивное ценообразование, тестирование цены с клиентами","Применяет установленный прайс, может давать скидки в пределах","Стратегия ценообразования для сегментов, эксперименты","Контроль дисциплины цен, управление скидками","Матрица ценообразования по сегментам, А/B тесты","Execution ценовой политики, контроль margin",Ценовое лидерство или премиум позиционирование по сегментам,"Строгий контроль pricing discipline, revenue management"
Развитие каналов продаж,"Личные продажи, тестирование 2-3 каналов, партнерство","Управляет текущими каналами, оптимизирует конверсию","Масштабирование лучших каналов, дилерская сеть, партнерства",Развитие и оптимизация существующих каналов,"Мультиканальность, цифровые каналы, партнерская экосистема",Управление сложными B2B/B2G каналами,"Стратегия дистрибуции, франчайзинг, лицензирование","Multi-channel orchestration, partner ecosystem"
Маркетинговая стратегия,"Делает сам или с фрилансерами: соцсети, контент, таргет","Исполняет маркетинг-план, контролирует подрядчиков","Нанимает CMO/маркетолога, бюджет 5-10% от оборота",Управление маркетинг-бюджетом направления,"CMO + команда 10-20 человек, брендинг, performance","Координация маркетинга с продажами, trade marketing","Бренд-стратегия, репутация, digital transformation","Integrated marketing execution, brand consistency"
Работа с ключевыми клиентами,"Лично работает с каждым клиентом, собирает кейсы","Поддерживает отношения, решает текущие вопросы","Фокус на крупнейших 20% клиентов, личное участие в стратегических сделках","Retention программа, account management","Top-20 клиентов = 60-80% оборота, личные отношения с CEO клиентов",Key account management программа,"Enterprise clients, стратегические партнерства на уровне CEO-to-CEO","Global account management, strategic partnerships"
Управление финансами,"Контролирует каждый рубль, Excel, управленка «в уме»","Контролирует расходы, следит за бюджетом отдела","CFO/фин.директор, управленческий учет, прогнозирование","Управление бюджетом направления (5-50 млн), P&L","Полноценная финансовая служба, казначейство, управление капиталом","P&L центр 50-300 млн, управление рентабельностью","CFO + FP&A команда, корпоративные финансы, IR","Крупный P&L центр 200 млн - 3 млрд, full accountability"
Привлечение капитала,"Личные средства, кредиты, друзья/семья, первые бизнес-ангелы",Не участвует в привлечении капитала,"Венчур, банковские кредиты, стратегические инвесторы",Подготовка обоснований для инвестиций,"Облигации, кредитные линии 100+ млн, PE-фонды, IPO-подготовка",Business case для крупных инвестиций,"IPO, SPO, корпоративные облигации, синдицированные кредиты",Major capex projects обоснование
Бюджетирование,"Минимальное, фокус на кэш-флоу и точке безубыточности","Укладывается в выделенный бюджет, еженедельный контроль","Годовое и квартальное, по подразделениям, P&L центры",Месячное и квартальное детальное планирование,"Полный цикл планирования и контроля, rolling forecast","Квартальное и годовое, факт-план анализ","Трехлетний план, сценарное планирование, капитал-аллокация","Annual operating plan, quarterly business reviews"
Инвестиционные решения,"Решает интуитивно, быстро, малые суммы (до 1-2 млн)",Не принимает - эскалирует к основателю,"Средние инвестиции (5-20 млн), оценка ROI, комитеты",Мелкие инвестиции до 1-2 млн (в рамках бюджета),"Крупные инвестиции 20-100 млн, инвестиционный комитет",Инвестиции 3-10 млн с обоснованием ROI,"100+ млн инвестиции, стратегические M&A, venture инвестиции",Major investments 10-50 млн with ROI targets
Финансовая отчетность,"Базовая: ДДС, PnL в Excel, налоги с бухгалтером","Еженедельные отчеты: выручка, расходы, прибыль, воронка","МСФО-like отчетность, бизнес-аналитика, дашборды",Месячная управленческая отчетность по направлению,"МСФО, консолидация, investor relations, внешний аудит",Консолидированная отчетность по направлению/региону,"МСФО/GAAP, публичная отчетность, quarterly earnings",Полная финансовая отчетность по бизнес-юниту
Найм ключевых людей,"Нанимает универсалов, 3-7 человек, сам собеседует всех",Нанимает линейных сотрудников (с одобрения основателя),"Нанимает руководителей направлений, строит HR-систему",Набор команды своего направления (до 50 человек),"Топ-менеджеры (С-level), talent acquisition, HR BP","Управление командой 50-200 человек, multiple layers","Chief People Officer, talent acquisition at scale, employer brand","Организация 200-1000+ человек, multiple countries/sites"
Организационная структура,"Плоская, все подчиняются основателю напрямую",Управляет своим подразделением (продажи/производство),"Функциональные подразделения: продажи, маркетинг, ops, продукт",Руководит функциональным блоком или регионом,"Дивизиональная/матричная, бизнес-юниты, shared services",Руководство дивизионом/крупным регионом,"Холдинговая/матричная, shared service centers, centers of excellence",Руководство крупным дивизионом/geography/function
Корпоративная культура,"Закладывает фундамент, формирует ценности через личный пример","Поддерживает культуру, но не формирует","Документирует ценности, нанимает HR, строит систему адаптации",Транслирует культуру в своем подразделении,"Корпоративный университет, EVP, engagement программы","Культура внутри дивизиона, engagement initiatives","Корпоративная культура как конкурентное преимущество, миссия и ценности","Culture carrier, change management, transformation"
Делегирование,"Минимальное - делает почти все сам, передает только рутину",Делегирует рутинные задачи сотрудникам,"Активное - делегирует операционку, оставляет стратегию и ключевые решения","Широкое делегирование менеджерам, фокус на результатах","Почти полное - работает через C-level, strategy meetings",Управление через директоров направлений,"Практически полное - работа с board, топ-5 executives",Управление через executive team направления
Развитие команды,"Обучает на ходу, растит первых сотрудников с нуля","Обучает операционным процессам, чек-листам","Создает систему обучения, менторинг руководителей",Развитие руководителей второго уровня,"Leadership development программы, succession planning","Talent pipeline, high-potential программы","Leadership academy, executive coaching, внешние назначения","Succession planning, talent reviews, organizational development"
Операционная эффективность,"Низкая - хаос, тушение пожаров, ручное управление","Высокая - главный фокус! Выстраивает процессы, KPI","Средняя - внедрение ERP/CRM, процессы описаны, но есть проблемы","Очень высокая - операционное совершенство, автоматизация","Высокая - процессное управление, Six Sigma, lean","Экспертная - benchmark лучших практик, непрерывное улучшение","Операционное совершенство на уровне индустрии, benchmarking","Best-in-class operations, industry leadership"
Процессы и системы,"Нет формализованных процессов, все «на коленке»","Создает первые чек-листы, SOP, внедряет простые системы","ISO/процессы в ключевых местах, автоматизация рутины","Внедрение ERP/CRM модулей, оптимизация процессов","Полная автоматизация core-процессов, BPM-системы","Центр компетенций, процессные улучшения, цифровизация","Enterprise системы (SAP, Oracle), глобальные процессы","Global process harmonization, shared services, automation"
